mesh_n,phase,historical_mstore_relative_kj_mol_per_H2O,current_pbc_native_relative_kj_mol_per_H2O,mstore_minus_pbc_kj_mol_per_H2O,dmc_reference_kj_mol_per_H2O,mstore_absolute_error_kj_mol_per_H2O,pbc_absolute_error_kj_mol_per_H2O,mstore_delta_k3_to_k4_kj_mol_per_H2O,qualification
4,II,-1.551542519577,-2.513144332386,0.961601812809,0.310000,1.861542519577,2.823144332386,-1.271554309670,PASS
4,III,1.368689917097,1.264036142972,0.104653774125,1.250000,0.118689917097,0.014036142972,3.088892137267,PASS
4,IV,1.330606636013,1.405718427516,-0.075111791503,3.830000,2.499393363987,2.424281572484,-0.322976501531,PASS
4,VI,-0.264419003209,-1.048055217778,0.783636214569,1.780000,2.044419003209,2.828055217778,5.647686880789,PASS
4,VII,-32.920545440059,-63.955253819072,31.034708379013,4.990000,37.910545440059,68.945253819072,44.526121566122,PASS
4,VIII,-2.341577824371,-6.163477349517,3.821899525146,4.230000,6.571577824371,10.393477349517,17.365144361115,PASS
4,IX,-0.359573368788,-0.372870780640,0.013297411852,0.600000,0.959573368788,0.972870780640,2.415198257610,PASS
4,XI,-7.344598834654,-14.875006645914,7.530407811260,0.160000,7.504598834654,15.035006645914,23.824151821301,PASS
4,XIV,-12.149540303490,-23.938100045934,11.788559742444,1.700000,13.849540303490,25.638100045934,29.630251555641,PASS
4,XV,-0.222075632001,-1.097387628033,0.875311996032,1.740000,1.962075632001,2.837387628033,5.712366117534,PASS
4,XVII,-0.014936475076,-0.727224094238,0.712287619162,1.750000,1.764936475076,2.477224094238,4.865641049053,PASS
