mesh_n,mesh_label,phase_count,me_kj_mol_per_water,mae_kj_mol_per_water,rmse_kj_mol_per_water,maxae_kj_mol_per_water
1,Gamma,12,-155.63762755347165,163.834465429091,218.16776208267322,496.8630821847068
2,2x2x2,12,-86.03987319743577,88.68137510372291,125.54648915641921,304.96522631714754
3,3x3x3,12,-34.048487494129404,34.048487494129404,57.0019489414598,158.8881469556274
4,4x4x4,12,-11.363141476874764,11.365480834036815,21.95791997784359,68.94525381907388
5,5x5x5,12,-4.2818402897951895,4.346421804936239,8.237871337076879,26.85096029290071
