stage,uniform_complete,mesh_counts,a0_me_A,a0_mae_A,a0_rmse_A,a0_maxae_A,ecoh_me_eV_per_atom,ecoh_mae_eV_per_atom,ecoh_rmse_eV_per_atom,ecoh_maxae_eV_per_atom,ecoh_me_kJmol_per_atom,ecoh_mae_kJmol_per_atom,ecoh_rmse_kJmol_per_atom,ecoh_maxae_kJmol_per_atom,n,note
k333,True,k333:10,-0.195265583930,0.195265583930,0.221454311440,0.347067983900,0.688910660694,0.688910660694,0.778448672088,1.224226746547,66.469773900378,66.469773900378,75.108878667363,118.119924234827,10,uniform native 3x3x3 mesh
k444,True,k444:10,-0.163317686790,0.163843829930,0.188583400697,0.282573646100,0.379612859312,0.423031656979,0.474707967240,0.897193537055,36.627072808998,40.816349922332,45.802355880723,86.566016401639,10,uniform native 4x4x4 mesh
k555,True,k555:10,-0.146613453370,0.149385709770,0.172290583260,0.271679374000,0.271756766125,0.331175306222,0.380595242834,0.815792112962,26.220541836298,31.953559411840,36.721858409399,78.711972962715,10,uniform native 5x5x5 mesh
k666,True,k666:10,-0.137740789440,0.141393471580,0.164571098461,0.268255062400,0.240205126630,0.303709415058,0.356875698711,0.799231619488,23.176271420637,29.303503780847,34.433270316850,77.114128249751,10,uniform native 6x6x6 mesh
k777_cleaned,True,k777:10,-0.136096292490,0.140027261710,0.163499033398,0.267356973400,0.231916897158,0.296425010431,0.351378272455,0.796689939367,22.376578847336,28.600665581129,33.902849318692,76.868893399125,10,uniform native 7x7x7 mesh; user-approved physical MgS SCC branch
mixed_k888,False,k888:8;k777:2,-0.135645465720,0.139657316580,0.163237675514,0.267134826500,0.230157792039,0.294917097142,0.350411947367,0.796117320211,22.206851005641,28.455174066617,33.809613121669,76.813644049678,10,LiF and LiCl retain k777 while refined k888 fits run
mixed_k999,False,k999:5;k888:4;k777:1,-0.134988543480,0.139023204460,0.162445935523,0.267134826500,0.229656279819,0.294480652215,0.350139832917,0.796117320211,22.158462432492,28.413063532863,33.783358068616,76.813644049678,10,C SiC BN BP AlN at k999; Si AlP MgS LiCl at k888; LiF at k777
adaptive_final,False,k999:3;k888:4;k777:3,-0.139378156990,0.143390007850,0.168215544130,0.267356973400,0.229935067620,0.294694372722,0.350358699337,0.796689939367,22.185361366131,28.433684426991,33.804475467860,76.868893399125,10,first passing adjacent pair per solid at 0.025 A and 0.25 kJ mol-1 atom-1; denser endpoint retained
