mesh_n,mesh_id,provider,phase,n_H2O_primitive,absolute_energy_Ha_per_primitive,relative_energy_kJmol_per_H2O,DMC_reference_kJmol_per_H2O,signed_error_kJmol_per_H2O,reference_phase,source_sha256,status
2,k222,cp2k_native,VII,12,-919.058168742293333,-299.975226148062,4.990000,-304.965226148062,Ih,8a8f2b0fdb9675d39513209723ff72518c091d61a0f3902ab103f843e3e6e8e2,recorded
2,k222,cp2k_native,VIII,8,-612.161605395580182,-121.493618777871,4.230000,-125.723618777871,Ih,9e8c7430444cb529790e8a6e2beedd296b253cf205644fc1dec041ee07edec0a,recorded
2,k222,cp2k_native,IX,12,-917.754809069559201,-14.811030402432,0.600000,-15.411030402432,Ih,0363684eddd6ae98ec928e32c0fe83d2d2facea4a5e5c2736e426215fcf2c362,recorded
2,k222,cp2k_native,XI,8,-612.294892593739633,-165.236805092581,0.160000,-165.396805092581,Ih,0a54a757d7744d9758679a36c0299d240c002bdb9383118ce3bb30a7f2a0be54,recorded
2,k222,cp2k_native,XIII,28,-2141.196642339084065,6.872360668574,2.120000,+4.752360668574,Ih,59f633892230ee15a17380a50eb61d3e5ef4e9b882c035ddfa2678f5c90c2965,recorded
2,k222,cp2k_native,XIV,12,-918.599430051627451,-199.607037291382,1.700000,-201.307037291382,Ih,ce9ec5cc01e3754008517ef236b111d70ed108f733fdbec3d57eea5680afe72d,recorded
2,k222,cp2k_native,XV,10,-764.960345852940122,-58.045560453454,1.740000,-59.785560453454,Ih,9881665e8d12183f74c53a2a7787a445d3e8194f0b79dbc09cfe9ea670bb9267,recorded
2,k222,cp2k_native,XVII,6,-458.961383263706466,-51.558717468655,1.750000,-53.308717468655,Ih,bacd7686f6f25749781eff3f80d82165370cffdd8eca4469feba0594e8cda3e3,recorded
2,k222,save_tblite_cli,Ih,12,-917.687114379560057,0.000000000000,0.000000,+0.000000000000,Ih,6fb79084ed2841a6ba5219acb089ccddd93e995c6e202e3849ee7b4148440fbe,recorded
2,k222,save_tblite_cli,II,12,-917.870177910537336,-40.052769525987,0.310000,-40.362769525987,Ih,f631caf30c2e90261f5edf27721318289a4725011ee5ac698214da4ff826c37e,recorded
2,k222,save_tblite_cli,III,12,-917.786155909223567,-21.669458356542,1.250000,-22.919458356542,Ih,2c01ccb6c183696de56b5799cf9e8d5dc8252507f0ec12be5a15eadc4fa0e76c,recorded
2,k222,save_tblite_cli,IV,16,-1223.491855013792019,14.926647900400,3.830000,+11.096647900400,Ih,393634ebefec814a7987349182a99eaa04da3d19ee146e9fb4c611894e89ba89,recorded
2,k222,save_tblite_cli,VI,10,-764.957762397942361,-57.367276042161,1.780000,-59.147276042161,Ih,6d5d017882704425dcb6f916855fd88af986bc765a86578643154dc7218f2eef,recorded
2,k222,save_tblite_cli,VII,12,-919.058168637085032,-299.975204734206,4.990000,-304.965204734207,Ih,4a39f32c864856c1bd7daead8878d807b704c681b4b722cdc0c477986d680084,recorded
2,k222,save_tblite_cli,VIII,8,-612.161605403462545,-121.493622969605,4.230000,-125.723622969605,Ih,2b287200e00823df5c9cbcb59f31438efe550ecc333922956b9ad8e4c3d86df6,recorded
2,k222,save_tblite_cli,IX,12,-917.754809075274807,-14.811033257812,0.600000,-15.411033257812,Ih,12a636f38cbe4891fa7e9c86aeeca8d1aeec5394009dbc0628b81de1fec644ff,recorded
2,k222,save_tblite_cli,XI,8,-612.294892601289803,-165.236809175292,0.160000,-165.396809175292,Ih,e730128c55b35739e41df448f023fe14f1c3b1f46dbc2d98919fce0f6cfe91e0,recorded
2,k222,save_tblite_cli,XIII,28,-2141.196642354066626,6.872357658840,2.120000,+4.752357658840,Ih,6c09805c5154a80fcd4050f09f4cc2f153c68c146556d3ae8a90cadea0423ee1,recorded
2,k222,save_tblite_cli,XIV,12,-918.599430064347075,-199.607041679182,1.700000,-201.307041679182,Ih,fe2f6047e1d51dc7dcbb1d5940ba243098cf6e60284774158b66173dd78b4df8,recorded
2,k222,save_tblite_cli,XV,10,-764.960345860499729,-58.045564043069,1.740000,-59.785564043069,Ih,dfa3b66fea06d3efb0c3f9992e367343778e10f60e8463b99aad0325837ff771,recorded
2,k222,save_tblite_cli,XVII,6,-458.961383268005250,-51.558720954546,1.750000,-53.308720954546,Ih,00e75e8d834afd4f28acdc4194e26dbb69869893051539cf9756ac11e9747a79,recorded
3,k333,cp2k_native,Ih,12,-917.495889060008153,0.000000000000,0.000000,+0.000000000000,Ih,fd72ebf355e4b616ff2d0eeb01d45d221534ba363252f941fd284e15a9ae1490,recorded
3,k333,cp2k_native,II,12,-917.537262315681460,-9.052122316108,0.310000,-9.362122316108,Ih,57d9195adfa4a54580258150926b061687f12559577ea8267e9a4a878d2c1c91,recorded
