calculation,mesh,method,system,label,complete,lattice_energy_kJmol,x23b_ref_lattice_energy_kJmol,error_kJmol
cell_opt,k222,GFN1-xTB,co2,Carbon dioxide,True,15.902661,29.400000,-13.497339
single_point,gamma,GFN2-xTB,co2,Carbon dioxide,True,19.955327,29.400000,-9.444673
single_point,k111,GFN2-xTB,co2,Carbon dioxide,True,19.955327,29.400000,-9.444673
single_point,k222,GFN2-xTB,co2,Carbon dioxide,True,20.049143,29.400000,-9.350857
single_point,k333,GFN2-xTB,co2,Carbon dioxide,True,20.049182,29.400000,-9.350818
cell_opt,k222,GFN2-xTB,co2,Carbon dioxide,True,21.127373,29.400000,-8.272627
single_point,gamma,GFN1-xTB,cyanamide,Cyanamide,True,-18.293995,81.500000,-99.793995
single_point,k111,GFN1-xTB,cyanamide,Cyanamide,True,-18.293995,81.500000,-99.793995
single_point,k222,GFN1-xTB,cyanamide,Cyanamide,True,-17.814937,81.500000,-99.314937
single_point,k333,GFN1-xTB,cyanamide,Cyanamide,True,-17.814572,81.500000,-99.314572
cell_opt,k222,GFN1-xTB,cyanamide,Cyanamide,True,70.072148,81.500000,-11.427852
single_point,gamma,GFN2-xTB,cyanamide,Cyanamide,True,-12.419021,81.500000,-93.919021
single_point,k111,GFN2-xTB,cyanamide,Cyanamide,True,-12.419021,81.500000,-93.919021
single_point,k222,GFN2-xTB,cyanamide,Cyanamide,True,-11.860750,81.500000,-93.360750
single_point,k333,GFN2-xTB,cyanamide,Cyanamide,True,-11.860810,81.500000,-93.360810
cell_opt,k222,GFN2-xTB,cyanamide,Cyanamide,True,79.100832,81.500000,-2.399168
single_point,gamma,GFN1-xTB,cytosine,Cytosine,True,-51.548276,163.500000,-215.048276
single_point,k111,GFN1-xTB,cytosine,Cytosine,True,-51.548276,163.500000,-215.048276
single_point,k222,GFN1-xTB,cytosine,Cytosine,True,-10.659093,163.500000,-174.159093
single_point,k333,GFN1-xTB,cytosine,Cytosine,True,-10.529066,163.500000,-174.029066
cell_opt,k222,GFN1-xTB,cytosine,Cytosine,True,155.492902,163.500000,-8.007098
single_point,gamma,GFN2-xTB,cytosine,Cytosine,True,-53.725069,163.500000,-217.225069
single_point,k111,GFN2-xTB,cytosine,Cytosine,True,-53.725069,163.500000,-217.225069
single_point,k222,GFN2-xTB,cytosine,Cytosine,True,-8.079862,163.500000,-171.579862
single_point,k333,GFN2-xTB,cytosine,Cytosine,True,-7.937551,163.500000,-171.437551
cell_opt,k222,GFN2-xTB,cytosine,Cytosine,True,156.812039,163.500000,-6.687961
single_point,gamma,GFN1-xTB,ethylcarbamate,Ethyl carbamate,True,-138.707869,88.200000,-226.907869
single_point,k111,GFN1-xTB,ethylcarbamate,Ethyl carbamate,True,-138.707869,88.200000,-226.907869
single_point,k222,GFN1-xTB,ethylcarbamate,Ethyl carbamate,True,-117.333752,88.200000,-205.533752
single_point,k333,GFN1-xTB,ethylcarbamate,Ethyl carbamate,True,-117.219175,88.200000,-205.419175
cell_opt,k222,GFN1-xTB,ethylcarbamate,Ethyl carbamate,True,87.245753,88.200000,-0.954247
single_point,gamma,GFN2-xTB,ethylcarbamate,Ethyl carbamate,True,-139.680409,88.200000,-227.880409
single_point,k111,GFN2-xTB,ethylcarbamate,Ethyl carbamate,True,-139.680409,88.200000,-227.880409
single_point,k222,GFN2-xTB,ethylcarbamate,Ethyl carbamate,True,-109.351100,88.200000,-197.551100
single_point,k333,GFN2-xTB,ethylcarbamate,Ethyl carbamate,True,-109.060939,88.200000,-197.260939
cell_opt,k222,GFN2-xTB,ethylcarbamate,Ethyl carbamate,True,87.358615,88.200000,-0.841385
single_point,gamma,GFN1-xTB,formamide,Formamide,True,-54.304865,81.100000,-135.404865
single_point,k111,GFN1-xTB,formamide,Formamide,True,-54.304865,81.100000,-135.404865
single_point,k222,GFN1-xTB,formamide,Formamide,True,-34.312321,81.100000,-115.412321
single_point,k333,GFN1-xTB,formamide,Formamide,True,-34.198226,81.100000,-115.298226
cell_opt,k222,GFN1-xTB,formamide,Formamide,True,86.501132,81.100000,5.401132
single_point,gamma,GFN2-xTB,formamide,Formamide,True,-63.060020,81.100000,-144.160020
single_point,k111,GFN2-xTB,formamide,Formamide,True,-63.060020,81.100000,-144.160020
single_point,k222,GFN2-xTB,formamide,Formamide,True,-39.794023,81.100000,-120.894023
single_point,k333,GFN2-xTB,formamide,Formamide,True,-39.635321,81.100000,-120.735321
cell_opt,k222,GFN2-xTB,formamide,Formamide,True,81.401049,81.100000,0.301049
single_point,gamma,GFN1-xTB,hexamine,Hexamine,True,63.013320,84.100000,-21.086680
single_point,k111,GFN1-xTB,hexamine,Hexamine,True,63.013320,84.100000,-21.086680
single_point,k222,GFN1-xTB,hexamine,Hexamine,True,76.712935,84.100000,-7.387065
single_point,k333,GFN1-xTB,hexamine,Hexamine,True,76.938517,84.100000,-7.161483
cell_opt,k222,GFN1-xTB,hexamine,Hexamine,True,83.976600,84.100000,-0.123400
single_point,gamma,GFN2-xTB,hexamine,Hexamine,True,84.130038,84.100000,0.030038
single_point,k111,GFN2-xTB,hexamine,Hexamine,True,84.130038,84.100000,0.030038
single_point,k222,GFN2-xTB,hexamine,Hexamine,True,83.722781,84.100000,-0.377219
single_point,k333,GFN2-xTB,hexamine,Hexamine,True,83.681793,84.100000,-0.418207
cell_opt,k222,GFN2-xTB,hexamine,Hexamine,True,93.304089,84.100000,9.204089
single_point,gamma,GFN1-xTB,imidazole,Imidazole,True,68.799504,90.400000,-21.600496
single_point,k111,GFN1-xTB,imidazole,Imidazole,True,68.799504,90.400000,-21.600496
single_point,k222,GFN1-xTB,imidazole,Imidazole,True,67.371394,90.400000,-23.028606
single_point,k333,GFN1-xTB,imidazole,Imidazole,True,67.379457,90.400000,-23.020543
cell_opt,k222,GFN1-xTB,imidazole,Imidazole,True,51.938065,90.400000,-38.461935
single_point,gamma,GFN2-xTB,imidazole,Imidazole,True,70.085568,90.400000,-20.314432
single_point,k111,GFN2-xTB,imidazole,Imidazole,True,70.085568,90.400000,-20.314432
single_point,k222,GFN2-xTB,imidazole,Imidazole,True,70.738457,90.400000,-19.661543
single_point,k333,GFN2-xTB,imidazole,Imidazole,True,70.715845,90.400000,-19.684155
cell_opt,k222,GFN2-xTB,imidazole,Imidazole,True,0.330338,90.400000,-90.069662
single_point,gamma,GFN1-xTB,naphthalene,Naphthalene,True,-124.624617,81.300000,-205.924617
single_point,k111,GFN1-xTB,naphthalene,Naphthalene,True,-124.624617,81.300000,-205.924617
single_point,k222,GFN1-xTB,naphthalene,Naphthalene,True,-124.913650,81.300000,-206.213650
single_point,k333,GFN1-xTB,naphthalene,Naphthalene,True,-124.890618,81.300000,-206.190618
cell_opt,k222,GFN1-xTB,naphthalene,Naphthalene,True,57.050329,81.300000,-24.249671
single_point,gamma,GFN2-xTB,naphthalene,Naphthalene,True,-119.245319,81.300000,-200.545319
single_point,k111,GFN2-xTB,naphthalene,Naphthalene,True,-119.245319,81.300000,-200.545319
single_point,k222,GFN2-xTB,naphthalene,Naphthalene,True,-118.075075,81.300000,-199.375075
single_point,k333,GFN2-xTB,naphthalene,Naphthalene,True,-118.052833,81.300000,-199.352833
cell_opt,k222,GFN2-xTB,naphthalene,Naphthalene,True,44.280761,81.300000,-37.019239
single_point,gamma,GFN1-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,82.716682,98.800000,-16.083318
single_point,k111,GFN1-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,82.716682,98.800000,-16.083318
single_point,k222,GFN1-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,85.458124,98.800000,-13.341876
single_point,k333,GFN1-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,85.459555,98.800000,-13.340445
cell_opt,k222,GFN1-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,116.188908,98.800000,17.388908
single_point,gamma,GFN2-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,75.548252,98.800000,-23.251748
single_point,k111,GFN2-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,75.548252,98.800000,-23.251748
single_point,k222,GFN2-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,79.504952,98.800000,-19.295048
single_point,k333,GFN2-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,79.509359,98.800000,-19.290641
cell_opt,k222,GFN2-xTB,oxalic_acid_alpha,Oxalic acid alpha,True,106.645222,98.800000,7.845222
single_point,gamma,GFN1-xTB,oxalic_acid_beta,Oxalic acid beta,True,111.887181,96.800000,15.087181
single_point,k111,GFN1-xTB,oxalic_acid_beta,Oxalic acid beta,True,111.887181,96.800000,15.087181
single_point,k222,GFN1-xTB,oxalic_acid_beta,Oxalic acid beta,True,94.888457,96.800000,-1.911543
single_point,k333,GFN1-xTB,oxalic_acid_beta,Oxalic acid beta,True,95.537228,96.800000,-1.262772
cell_opt,k222,GFN1-xTB,oxalic_acid_beta,Oxalic acid beta,True,124.643243,96.800000,27.843243
single_point,gamma,GFN2-xTB,oxalic_acid_beta,Oxalic acid beta,True,81.296309,96.800000,-15.503691
single_point,k111,GFN2-xTB,oxalic_acid_beta,Oxalic acid beta,True,81.296309,96.800000,-15.503691
single_point,k222,GFN2-xTB,oxalic_acid_beta,Oxalic acid beta,True,60.635635,96.800000,-36.164365
single_point,k333,GFN2-xTB,oxalic_acid_beta,Oxalic acid beta,True,61.595626,96.800000,-35.204374
cell_opt,k222,GFN2-xTB,oxalic_acid_beta,Oxalic acid beta,True,82.718195,96.800000,-14.081805
single_point,gamma,GFN1-xTB,pyrazine,Pyrazine,True,-182.575309,64.300000,-246.875309
single_point,k111,GFN1-xTB,pyrazine,Pyrazine,True,-182.575309,64.300000,-246.875309
single_point,k222,GFN1-xTB,pyrazine,Pyrazine,True,-138.386972,64.300000,-202.686972
single_point,k333,GFN1-xTB,pyrazine,Pyrazine,True,-138.157458,64.300000,-202.457458
cell_opt,k222,GFN1-xTB,pyrazine,Pyrazine,True,63.221297,64.300000,-1.078703
single_point,gamma,GFN2-xTB,pyrazine,Pyrazine,True,-183.964884,64.300000,-248.264884
single_point,k111,GFN2-xTB,pyrazine,Pyrazine,True,-183.964884,64.300000,-248.264884
single_point,k222,GFN2-xTB,pyrazine,Pyrazine,True,-126.886299,64.300000,-191.186299
single_point,k333,GFN2-xTB,pyrazine,Pyrazine,True,-126.682439,64.300000,-190.982439
cell_opt,k222,GFN2-xTB,pyrazine,Pyrazine,True,58.044864,64.300000,-6.255136
single_point,gamma,GFN1-xTB,pyrazole,Pyrazole,True,-111.764490,78.800000,-190.564490
single_point,k111,GFN1-xTB,pyrazole,Pyrazole,True,-111.764490,78.800000,-190.564490
single_point,k222,GFN1-xTB,pyrazole,Pyrazole,True,-111.753849,78.800000,-190.553849
single_point,k333,GFN1-xTB,pyrazole,Pyrazole,True,-111.753984,78.800000,-190.553984
cell_opt,k222,GFN1-xTB,pyrazole,Pyrazole,True,60.093792,78.800000,-18.706208
single_point,gamma,GFN2-xTB,pyrazole,Pyrazole,True,-102.360516,78.800000,-181.160516
single_point,k111,GFN2-xTB,pyrazole,Pyrazole,True,-102.360516,78.800000,-181.160516
single_point,k222,GFN2-xTB,pyrazole,Pyrazole,True,-102.386149,78.800000,-181.186149
single_point,k333,GFN2-xTB,pyrazole,Pyrazole,True,-102.386142,78.800000,-181.186142
cell_opt,k222,GFN2-xTB,pyrazole,Pyrazole,True,60.880768,78.800000,-17.919232
single_point,gamma,GFN1-xTB,succinic_acid,Succinic acid,True,142.493531,130.100000,12.393531
single_point,k111,GFN1-xTB,succinic_acid,Succinic acid,True,142.493531,130.100000,12.393531
single_point,k222,GFN1-xTB,succinic_acid,Succinic acid,True,133.223382,130.100000,3.123382
single_point,k333,GFN1-xTB,succinic_acid,Succinic acid,True,133.198094,130.100000,3.098094
cell_opt,k222,GFN1-xTB,succinic_acid,Succinic acid,True,150.915379,130.100000,20.815379
single_point,gamma,GFN2-xTB,succinic_acid,Succinic acid,True,133.420386,130.100000,3.320386
single_point,k111,GFN2-xTB,succinic_acid,Succinic acid,True,133.420386,130.100000,3.320386
single_point,k222,GFN2-xTB,succinic_acid,Succinic acid,True,119.254838,130.100000,-10.845162
single_point,k333,GFN2-xTB,succinic_acid,Succinic acid,True,119.247490,130.100000,-10.852510
cell_opt,k222,GFN2-xTB,succinic_acid,Succinic acid,True,125.652094,130.100000,-4.447906
single_point,gamma,GFN1-xTB,triazine,s-Triazine,True,-118.993462,62.600000,-181.593462
single_point,k111,GFN1-xTB,triazine,s-Triazine,True,-118.993462,62.600000,-181.593462
single_point,k222,GFN1-xTB,triazine,s-Triazine,True,-119.170350,62.600000,-181.770350
single_point,k333,GFN1-xTB,triazine,s-Triazine,True,-119.170244,62.600000,-181.770244
cell_opt,k222,GFN1-xTB,triazine,s-Triazine,True,67.485900,62.600000,4.885900
single_point,gamma,GFN2-xTB,triazine,s-Triazine,True,-108.341287,62.600000,-170.941287
single_point,k111,GFN2-xTB,triazine,s-Triazine,True,-108.341287,62.600000,-170.941287
single_point,k222,GFN2-xTB,triazine,s-Triazine,True,-108.070988,62.600000,-170.670988
single_point,k333,GFN2-xTB,triazine,s-Triazine,True,-108.071027,62.600000,-170.671027
cell_opt,k222,GFN2-xTB,triazine,s-Triazine,True,54.360160,62.600000,-8.239840
single_point,gamma,GFN1-xTB,trioxane,s-Trioxane,True,41.288419,64.600000,-23.311581
single_point,k111,GFN1-xTB,trioxane,s-Trioxane,True,41.288419,64.600000,-23.311581
single_point,k222,GFN1-xTB,trioxane,s-Trioxane,True,40.587821,64.600000,-24.012179
single_point,k333,GFN1-xTB,trioxane,s-Trioxane,True,40.588370,64.600000,-24.011630
cell_opt,k222,GFN1-xTB,trioxane,s-Trioxane,True,76.978259,64.600000,12.378259
single_point,gamma,GFN2-xTB,trioxane,s-Trioxane,True,20.695077,64.600000,-43.904923
single_point,k111,GFN2-xTB,trioxane,s-Trioxane,True,20.695077,64.600000,-43.904923
single_point,k222,GFN2-xTB,trioxane,s-Trioxane,True,20.797840,64.600000,-43.802160
single_point,k333,GFN2-xTB,trioxane,s-Trioxane,True,20.797834,64.600000,-43.802166
cell_opt,k222,GFN2-xTB,trioxane,s-Trioxane,True,50.044045,64.600000,-14.555955
single_point,gamma,GFN1-xTB,uracil,Uracil,True,-183.801468,136.200000,-320.001468
single_point,k111,GFN1-xTB,uracil,Uracil,True,-183.801468,136.200000,-320.001468
single_point,k222,GFN1-xTB,uracil,Uracil,True,-120.698494,136.200000,-256.898494
single_point,k333,GFN1-xTB,uracil,Uracil,True,-120.182161,136.200000,-256.382161
cell_opt,k222,GFN1-xTB,uracil,Uracil,True,138.045827,136.200000,1.845827
single_point,gamma,GFN2-xTB,uracil,Uracil,True,-188.299645,136.200000,-324.499645
single_point,k111,GFN2-xTB,uracil,Uracil,True,-188.299645,136.200000,-324.499645
single_point,k222,GFN2-xTB,uracil,Uracil,True,-118.221686,136.200000,-254.421686
single_point,k333,GFN2-xTB,uracil,Uracil,True,-117.726067,136.200000,-253.926067
cell_opt,k222,GFN2-xTB,uracil,Uracil,True,133.819443,136.200000,-2.380557
single_point,gamma,GFN1-xTB,urea,Urea,True,65.096922,102.100000,-37.003078
single_point,k111,GFN1-xTB,urea,Urea,True,65.096922,102.100000,-37.003078
single_point,k222,GFN1-xTB,urea,Urea,True,85.066589,102.100000,-17.033411
single_point,k333,GFN1-xTB,urea,Urea,True,85.398776,102.100000,-16.701224
cell_opt,k222,GFN1-xTB,urea,Urea,True,101.608537,102.100000,-0.491463
single_point,gamma,GFN2-xTB,urea,Urea,True,80.642438,102.100000,-21.457562
single_point,k111,GFN2-xTB,urea,Urea,True,80.642438,102.100000,-21.457562
single_point,k222,GFN2-xTB,urea,Urea,True,102.241770,102.100000,0.141770
single_point,k333,GFN2-xTB,urea,Urea,True,103.131650,102.100000,1.031650
cell_opt,k222,GFN2-xTB,urea,Urea,True,113.196392,102.100000,11.096392
