# index label min q1 median q3 max mean mae
1 "BLYP+D3" -2.674524 -0.915574 1.234568 2.056706 6.674757 0.889370 1.974416
2 "PBE+D3" 0.905350 2.841224 4.584775 5.548637 13.106796 4.498963 4.498963
3 "RPBE+D3" 0.022665 4.438448 6.837736 8.129065 19.720874 6.629453 6.629453
4 "GFN2-xTB k222 opt" -15.180114 -4.336894 -2.819644 2.353328 18.421974 -1.791691 5.616637
5 "GFN1-xTB k222 opt" -19.084442 -9.288035 -5.820399 -3.673330 14.656970 -5.815548 7.914787
